name,articlenr,hscode,description,category,price,category__name
"Hinterrad 28""",100.102,8714.92,"Sollte zentrierbar sein, kein Speichenbruch, Freilauf funktioniert",1,2.70,Laufräder und Zubehör
"Hinterrad 26""",100.104,8714.92,"vgl Hinterrad 28""",1,2.70,Laufräder und Zubehör
"Vorderrad 28""",100.106,8714.92,"Sollte zentrierbar sein, kein Speichenbruch",1,1.80,Laufräder und Zubehör
"Vorderrad 26""",100.108,8714.92,"Sollte zentrierbar sein, kein Speichenbruch",1,1.80,Laufräder und Zubehör
Räder gemischt 24'' und kleiner,100.11,8714.92,"Sollte zentrierbar sein, kein Speichenbruch",1,1.40,Laufräder und Zubehör
Felgen 28'',100.112,8714.92,,1,1.30,Laufräder und Zubehör
Felgen 26'',100.114,8714.92,,1,1.30,Laufräder und Zubehör
Felgen gemischt  24'' und kleiner,100.116,8714.92,,1,1.30,Laufräder und Zubehör
"Reifen 28""",100.118,8714.5,"Profil noch vorhanden, Gummi nicht porös, Flanken haben keine Risse",1,0.90,Laufräder und Zubehör
"Reifen 28"" NEU",100.119,8714.5,,1,,Laufräder und Zubehör
"Reifen 26""",100.12,8714.5,"Profil noch vorhanden, Gummi nicht porös, Flanken haben keine Risse",1,0.90,Laufräder und Zubehör
"Reifen 26"" NEU",100.121,8714.5,,1,,Laufräder und Zubehör
Reifen gemsicht  24'' und kleiner,100.122,8714.5,"Profil noch vorhanden, Gummi nicht porös, Flanken haben keine Risse",1,0.90,Laufräder und Zubehör
"Schläuche 28""",100.128,4013.2,intakt bzw kein Loch,1,0.30,Laufräder und Zubehör
"Schläuche 28"" NEU",100.129,4013.2,,1,,Laufräder und Zubehör
"Schläuche 26""",100.13,4013.2,intakt bzw kein Loch,1,0.30,Laufräder und Zubehör
"Schläuche 26"" NEU",100.131,4013.2,,1,,Laufräder und Zubehör
Schläuche gemischt 24'' und kleiner,100.132,4013.2,intakt bzw kein Loch,1,0.30,Laufräder und Zubehör
Bremshebel (Paar),100.202,8714.99,Gelenk muss in Ordnung sein,2,1.50,Bremsen
Bremsen Weinmann,100.204,8714.99,"vollständig inklusive aller Schrauben, Scheiben und sonstiger Teile",2,1.80,Bremsen
Bremsen Cantilever,100.206,8714.99,"vollständig inklusive aller Schrauben, Scheiben und sonstiger Teile",2,1.80,Bremsen
Bremsen V-Brake,100.208,8714.99,"vollständig inklusive aller Schrauben, Scheiben und sonstiger Teile",2,1.80,Bremsen
Bremsklötze NEU,100.21,8714.99,,2,,Bremsen
Bremsklötze ,100.211,8714.99,WERDEN NICHT MEHR ANGEBOTEN,2,0.60,Bremsen
Schalthebel (Paar),100.302,8714.91,intakte und zu reparierende (z.B. Raster),3,1.80,Antrieb und Schaltung
Schalthebel (einzeln),100.304,8714.91,intakte und zu reparierende (z.B. Raster),3,1.80,Antrieb und Schaltung
Brems & Schalthebel (Kombination),100.306,8714.91,intakte und zu reparierende (z.B. Raster),3,1.80,Antrieb und Schaltung
Umwerfer 2 und 3 fach (vorne),100.308,8714.91,Feder sollte ok sein,3,1.20,Antrieb und Schaltung
Wechsler (Schaltwerk),100.31,8714.91,"Feder sollte ok sein, Rädchen nicht komplett verschlissen",3,1.50,Antrieb und Schaltung
Kurbelgarniture 1-fach (4-Kant),100.312,8714.91,"Kettenblätter nicht verschlissen (bzw. spitz), Kettenblattschrauben müssen zu öffnen sein",3,1.80,Antrieb und Schaltung
Kurbelgarniture 2-fach (4-Kant),100.314,8714.91,"Kettenblätter nicht verschlissen (bzw. spitz), Kettenblattschrauben müssen zu öffnen sein",3,1.80,Antrieb und Schaltung
Kurbelgarnitur 3-fach (4-Kant),100.316,8714.91,"Kettenblätter nicht verschlissen (bzw. spitz), Kettenblattschrauben müssen zu öffnen sein",3,1.80,Antrieb und Schaltung
MTB Kurbel NEU 3,100.318,8714.91,3 Fach vierkant Aufnahme ,3,,Antrieb und Schaltung
Tretlager kompakt (4-Kant),100.32,8714.91,"läuft rund, Lagerschalen nicht ausgeschlagen, vollständig",3,0.90,Antrieb und Schaltung
Tretlager universell NEU,100.322,8714.91,,3,,Antrieb und Schaltung
Kette ,100.324,8714.91,nicht verschlissen (Kettentest),3,1.80,Antrieb und Schaltung
Kette NEU 8/9- Fach,100.326,8714.91,einzeln oder  in Kombination mit neuer Kassette,3,,Antrieb und Schaltung
Kassette ,100.328,8714.91,,3,1.80,Antrieb und Schaltung
Kassette Neu 8/9 -Fach,100.33,8714.91,einzeln oder  in Kombination mit neuer Kett,3,1.80,Antrieb und Schaltung
Vordergabel,100.402,8714.91,"nicht verbogen, Gabelgewinde ok",4,3.00,Komponenten
Federgabel,100.404,8714.91,,4,3.00,Komponenten
Federgabel NEU,100.406,8714.99,,4,3.00,Komponenten
Steuerlager,100.408,8714.99,"nicht ausgeschlagen, sollte vollständig sein",4,1.20,Komponenten
"Lenker gerade oder gebogen, keine Rennvelolenker",100.41,8714.91,meistens aus Aluminium- dürfen keine Risse haben,4,1.50,Komponenten
Rennvelolenker,100.412,8714.91,s. Lenker gerade oder gebogen,4,1.50,Komponenten
Lenkergriffe (Paar),100.414,8714.99,"fraglich, wenn dann nicht zu abgegriffen. Evtl nur neu??",4,0.60,Komponenten
Vorbau A-Head (neues System),100.416,8714.91,Schrauben dürfen nicht durchgedreht sein,4,1.20,Komponenten
Vorbau (altes System),100.418,8714.91,"muss vollständig sein, Schraube mit Klemmmechanismus",4,1.20,Komponenten
Sattelstange,100.42,8714.95,,4,1.02,Komponenten
Sattel,100.422,8714.95,"keine Risse, annehmbarer Allgemeinzustand",4,1.80,Komponenten
Pedale,100.424,8714.96,Lager sollten sauber laufen und kein Spiel haben,4,1.20,Komponenten
Pedale Click,100.426,8714.96,Lager sollten sauber laufen und kein Spiel haben,4,1.20,Komponenten
Gepäckträger,100.428,8714.99,"nicht verbogen, sollte montierbar sein",4,1.80,Komponenten
Schutzblech Metall,100.43,8714.99,inklusive aller Schrauben,4,0.30,Komponenten
Steckschutzbleche Kunststoff,100.432,8714.99,inklusive Halterung?,4,0.30,Komponenten
Pumpe,100.502,8714.99,funktioniert,5,1.20,Zubehör
Veloständer,100.504,8714.99,ganz,5,1.20,Zubehör
Dynamo,100.506,8714.99,funktioniert,5,1.50,Zubehör
Rücklicht,100.508,8714.99,funktioniert,5,1.20,Zubehör
Vorderlicht,100.51,8714.99,funktioniert,5,1.20,Zubehör
Reflektoren,100.512,8714.99,funktioniert,5,0.30,Zubehör
Klingel,100.514,8714.99,funktioniert,5,0.60,Zubehör
Lenkerhörnli (Paar),100.516,8714.99,funktioniert,5,1.20,Zubehör
Bidonhalter,100.518,8714.99,,5,0.30,Zubehör
"Schrauben, Muttern & Unterlagscheiben",100.52,8714.99,,5,0.30,Zubehör
Schaltkabel NEU,100.522,8714.99,,5,44.20,Zubehör
Schaltkabel Hülllen NEU,100.523,8714.99,,5,13.44,Zubehör
Bremskabel NEU,100.524,8714.99,,5,53.88,Zubehör
Bremskabel Hüllen NEU,100.525,8714.99,,5,9.36,Zubehör
Kabelenden,100.526,8714.99,,5,0.01,Zubehör
Schaltkabel / Bremskabel / Hüllen,100.527,8714.99,WERDEN NICHT MEHR ANGEBOTEN,5,0.30,Zubehör
Stromkabel & Zubehör,100.53,8714.99,,5,0.30,Zubehör
Schnellspanner und Klemmen,100.532,8714.99,,5,0.12,Zubehör
